number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1001.000000	1.000000	0.000000		2.000000	S  1	Stimulus	2.000000	1.000000
2.000000	1751.000000	1.000000	0.000000		3.000000	S  4	Stimulus	3.000000	1.000000
3.000000	5001.000000	1.000000	0.000000		4.000000	S  2	Stimulus	4.000000	2.000000
4.000000	5683.000000	1.000000	0.000000		5.000000	S  6	Stimulus	5.000000	2.000000
5.000000	9001.000000	1.000000	0.000000		6.000000	S  1	Stimulus	6.000000	3.000000
6.000000	9618.000000	1.000000	0.000000		7.000000	S  6	Stimulus	7.000000	3.000000
7.000000	13001.000000	1.000000	0.000000		8.000000	S  2	Stimulus	8.000000	4.000000
8.000000	13540.000000	1.000000	0.000000		9.000000	S  6	Stimulus	9.000000	4.000000
9.000000	17001.000000	1.000000	0.000000		10.000000	S  2	Stimulus	10.000000	5.000000
10.000000	17640.000000	1.000000	0.000000		11.000000	S  6	Stimulus	11.000000	5.000000
11.000000	21001.000000	1.000000	0.000000		12.000000	S  1	Stimulus	12.000000	6.000000
12.000000	21641.000000	1.000000	0.000000		13.000000	S  6	Stimulus	13.000000	6.000000
13.000000	25001.000000	1.000000	0.000000		14.000000	S  1	Stimulus	14.000000	7.000000
14.000000	25750.000000	1.000000	0.000000		15.000000	S  6	Stimulus	15.000000	7.000000
15.000000	29001.000000	1.000000	0.000000		16.000000	S  2	Stimulus	16.000000	8.000000
16.000000	29531.000000	1.000000	0.000000		17.000000	S  6	Stimulus	17.000000	8.000000
17.000000	33001.000000	1.000000	0.000000		18.000000	S  2	Stimulus	18.000000	9.000000
18.000000	33561.000000	1.000000	0.000000		19.000000	S  6	Stimulus	19.000000	9.000000
19.000000	37001.000000	1.000000	0.000000		20.000000	S  1	Stimulus	20.000000	10.000000
20.000000	37676.000000	1.000000	0.000000		21.000000	S  6	Stimulus	21.000000	10.000000
21.000000	41001.000000	1.000000	0.000000		22.000000	S  1	Stimulus	22.000000	11.000000
22.000000	41751.000000	1.000000	0.000000		23.000000	S  4	Stimulus	23.000000	11.000000
23.000000	45001.000000	1.000000	0.000000		24.000000	S  2	Stimulus	24.000000	12.000000
24.000000	45668.000000	1.000000	0.000000		25.000000	S  6	Stimulus	25.000000	12.000000
25.000000	49001.000000	1.000000	0.000000		26.000000	S  2	Stimulus	26.000000	13.000000
26.000000	49592.000000	1.000000	0.000000		27.000000	S  6	Stimulus	27.000000	13.000000
27.000000	53001.000000	1.000000	0.000000		30.000000	S  1	Stimulus	30.000000	14.000000
28.000000	53518.000000	1.000000	0.000000		31.000000	S  6	Stimulus	31.000000	14.000000
29.000000	57001.000000	1.000000	0.000000		32.000000	S  2	Stimulus	32.000000	15.000000
30.000000	57628.000000	1.000000	0.000000		33.000000	S  6	Stimulus	33.000000	15.000000
31.000000	61001.000000	1.000000	0.000000		34.000000	S  2	Stimulus	34.000000	16.000000
32.000000	61610.000000	1.000000	0.000000		35.000000	S  6	Stimulus	35.000000	16.000000
33.000000	65001.000000	1.000000	0.000000		36.000000	S  1	Stimulus	36.000000	17.000000
34.000000	65595.000000	1.000000	0.000000		37.000000	S  6	Stimulus	37.000000	17.000000
35.000000	69001.000000	1.000000	0.000000		38.000000	S  1	Stimulus	38.000000	18.000000
36.000000	69542.000000	1.000000	0.000000		39.000000	S  6	Stimulus	39.000000	18.000000
37.000000	73001.000000	1.000000	0.000000		40.000000	S  2	Stimulus	40.000000	19.000000
