number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1001.000000	1.000000	0.000000		2.000000	S  1	Stimulus	2.000000	1.000000
2.000000	1750.000000	1.000000	0.000000		3.000000	S  4	Stimulus	3.000000	1.000000
3.000000	5001.000000	1.000000	0.000000		4.000000	S  2	Stimulus	4.000000	2.000000
4.000000	5552.000000	1.000000	0.000000		5.000000	S  6	Stimulus	5.000000	2.000000
5.000000	9001.000000	1.000000	0.000000		6.000000	S  1	Stimulus	6.000000	3.000000
6.000000	9675.000000	1.000000	0.000000		7.000000	S  6	Stimulus	7.000000	3.000000
7.000000	13001.000000	1.000000	0.000000		10.000000	S  2	Stimulus	10.000000	4.000000
8.000000	13535.000000	1.000000	0.000000		11.000000	S  6	Stimulus	11.000000	4.000000
9.000000	17001.000000	1.000000	0.000000		12.000000	S  1	Stimulus	12.000000	5.000000
10.000000	17399.000000	1.000000	0.000000		13.000000	S  6	Stimulus	13.000000	5.000000
11.000000	21001.000000	1.000000	0.000000		14.000000	S  2	Stimulus	14.000000	6.000000
12.000000	21447.000000	1.000000	0.000000		15.000000	S  6	Stimulus	15.000000	6.000000
13.000000	25001.000000	1.000000	0.000000		16.000000	S  1	Stimulus	16.000000	7.000000
14.000000	25544.000000	1.000000	0.000000		17.000000	S  6	Stimulus	17.000000	7.000000
15.000000	29001.000000	1.000000	0.000000		18.000000	S  2	Stimulus	18.000000	8.000000
16.000000	29420.000000	1.000000	0.000000		19.000000	S  6	Stimulus	19.000000	8.000000
17.000000	33001.000000	1.000000	0.000000		20.000000	S  1	Stimulus	20.000000	9.000000
18.000000	33478.000000	1.000000	0.000000		21.000000	S  6	Stimulus	21.000000	9.000000
19.000000	37001.000000	1.000000	0.000000		22.000000	S  1	Stimulus	22.000000	10.000000
20.000000	37538.000000	1.000000	0.000000		23.000000	S  6	Stimulus	23.000000	10.000000
21.000000	41001.000000	1.000000	0.000000		24.000000	S  2	Stimulus	24.000000	11.000000
